game_id,ok_n_rows,ok_n_players,ok_role_3_7,ok_winners,ok_consistency,all_ok,n_rows,n_players,winners,mafia_cnt,cit_cnt,winners_mafia,winners_citizens
100022,True,True,True,False,False,False,10,10,0,3,7,0,0
100067,True,True,True,False,False,False,10,10,0,3,7,0,0
101063,False,False,False,False,False,False,9,9,6,3,6,0,6
101504,False,False,False,True,True,False,9,9,3,3,6,3,0
101507,False,False,False,True,True,False,9,9,3,3,6,3,0
101510,False,False,False,True,True,False,9,9,7,2,7,0,7
101513,False,False,False,False,False,False,9,9,2,2,7,2,0
101516,False,False,False,False,False,False,8,8,6,2,6,0,6
101517,False,False,False,False,False,False,8,8,6,2,6,0,6
101518,False,False,False,False,False,False,8,8,2,2,6,2,0
101519,False,False,False,False,False,False,9,9,2,2,7,2,0
104217,False,False,False,False,False,False,9,9,2,2,7,2,0
104231,False,False,False,True,True,False,9,9,7,2,7,0,7
104233,False,False,False,False,False,False,9,9,6,3,6,0,6
104237,False,False,False,True,True,False,8,8,3,3,5,3,0
105339,False,False,False,True,True,False,9,9,3,3,6,3,0
105340,False,False,False,False,False,False,9,9,6,3,6,0,6
105346,False,False,False,True,True,False,9,9,3,3,6,3,0
107911,False,False,False,False,False,False,9,9,6,3,6,0,6
107915,False,False,False,False,False,False,8,8,5,3,5,0,5
108546,False,False,False,True,True,False,9,9,7,2,7,0,7
109165,False,False,False,False,False,False,9,9,6,3,6,0,6
109166,False,False,False,False,False,False,9,9,6,3,6,0,6
109168,False,False,False,True,True,False,9,9,3,3,6,3,0
109169,False,False,False,False,False,False,9,9,6,3,6,0,6
112658,False,False,False,False,False,False,9,9,6,3,6,0,6
112685,True,True,True,False,False,False,10,10,0,3,7,0,0
113698,False,False,False,True,True,False,9,9,3,3,6,3,0
114368,False,False,False,True,True,False,9,9,3,3,6,3,0
118025,False,False,False,True,True,False,9,9,3,3,6,3,0
119129,True,True,True,False,False,False,10,10,0,3,7,0,0
119775,False,False,False,False,False,False,9,9,6,3,6,0,6
120007,False,False,False,False,False,False,9,9,2,2,7,2,0
120008,False,False,False,False,False,False,9,9,6,3,6,0,6
120012,False,False,False,True,True,False,8,8,3,3,5,3,0
